ID;Name;Alarm text [de-DE], Alarm text;FieldInfo [Alarm text];Class;Trigger tag;Trigger bit;Acknowledgement tag;Acknowledgement bit;PLC acknowledgement tag;PLC acknowledgement bit;Group;Report;Info text [de-DE], Info text
1;Bitmeldung_1;System in der Aufheizphase (Untertemperatur);;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;8;<No value>;0;<No value>;0;<No value>;False;<No value>
2;Bitmeldung_2;Nachlaufzeit Aufheizen System läuft noch;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;9;<No value>;0;<No value>;0;<No value>;False;<No value>
3;Bitmeldung_3;Neuanlauf. Betätigen Sie den Reset Taster;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;10;<No value>;0;<No value>;0;<No value>;False;<No value>
4;Bitmeldung_4;Anlage ist ausgeschaltet ;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;11;<No value>;0;<No value>;0;<No value>;False;<No value>
5;Bitmeldung_5;Standby ist eingeschaltet;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;12;<No value>;0;<No value>;0;<No value>;False;<No value>
6;Bitmeldung_6;Diagnose Frequenzumrichter ist aktiv;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;13;<No value>;0;<No value>;0;<No value>;False;<No value>
7;Bitmeldung_7;Trichter am Extruder ist fast leer;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;14;<No value>;0;<No value>;0;<No value>;False;<No value>
8;Bitmeldung_8;Schalter Schaumstation ist ausgeschaltet;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;15;<No value>;0;<No value>;0;<No value>;False;<No value>
9;Bitmeldung_9;Fassschmelzer 1 nicht Betriebsbereit;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;0;<No value>;0;<No value>;0;<No value>;False;<No value>
10;Bitmeldung_10;Fassschmelzer 1 Sammelmeldung Warnung;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;1;<No value>;0;<No value>;0;<No value>;False;<No value>
11;Bitmeldung_11;Fassschmelzer 1 Sammelmeldung Error;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;2;<No value>;0;<No value>;0;<No value>;False;<No value>
12;Bitmeldung_12;Fassschmelzer 1 im Aufheizbetrieb;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;3;<No value>;0;<No value>;0;<No value>;False;<No value>
13;Bitmeldung_13;Fassschmelzer 1 Absenktemperatur ist ein;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;4;<No value>;0;<No value>;0;<No value>;False;<No value>
14;Bitmeldung_14;Fassschmelzer 1 Stempel außerhalb des Fass;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;5;<No value>;0;<No value>;0;<No value>;False;<No value>
15;Bitmeldung_15;Fassschmelzer 1 Fass leer;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;6;<No value>;0;<No value>;0;<No value>;False;<No value>
16;Bitmeldung_16;Fassschmelzer 1 kein Fass eingesetzt;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;7;<No value>;0;<No value>;0;<No value>;False;<No value>
17;Bitmeldung_17;Fassschmelzer 1 Schalter Stempel abwärts anwählen;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;24;<No value>;0;<No value>;0;<No value>;False;<No value>
18;Bitmeldung_18;Fassschmelzer 1 Fass Kleberfüllstand niedrig;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;25;<No value>;0;<No value>;0;<No value>;False;<No value>
19;Bitmeldung_19;Fassschmelzer 2 nicht Betriebsbereit;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;26;<No value>;0;<No value>;0;<No value>;False;<No value>
20;Bitmeldung_20;Fassschmelzer 2 Sammelmeldung Warnung;;Warnings;SYS_HMI_Messages\SYS_Operating_Messages;27;<No value>;0;<No value>;0;<No value>;False;<No value>
